timestamp, lastLatitude, lastLongitude, lastAccelerometerValues[0], lastAccelerometerValues[1], lastAccelerometerValues[2], lastGyroscopeValues[0], lastGyroscopeValues[1], lastGyroscopeValues[2], lastMagnetometerValues[0], lastMagnetometerValues[1], lastMagnetometerValues[2], label
158310647799023, 33.8224269, -84.3708083, 0.0, 0.0, 0.0, 1.331631, 6.799461, 6.593489, -4.6180687, -73.597664, -7.9089355, move
158310667929872, 33.8224269, -84.3708083, 0.0, 0.0, 0.0, -1.0394385, 7.055728, 7.7478886, -4.6180687, -73.597664, -7.9089355, move
158310688060721, 33.8224269, -84.3708083, 0.0, 0.0, 0.0, 0.87418216, 7.173084, 6.744375, -4.6180687, -73.597664, -7.9089355, move
158310708191567, 33.8224269, -84.3708083, 0.0, 0.0, 0.0, -0.51732427, 6.950347, 7.0030375, -4.6180687, -73.597664, -7.9089355, move
158310728322416, 33.8224269, -84.3708083, 0.0, 0.0, 0.0, 0.16765137, 6.8186207, 7.220984, -4.6180687, -73.597664, -7.9089355, move
158310708191567, 33.8224269, -84.3708083, 0.0, 0.0, 0.0, 0.16765137, 6.8186207, 7.220984, -4.6180687, -73.597664, -7.9089355, move
158310728322416, 33.8224269, -84.3708083, 0.0, 0.0, 0.0, 0.16765137, 6.8186207, 7.220984, -4.6180687, -73.597664, -7.9089355, move
158310728322415, 33.8224269, -84.3708083, 0.0, 0.0, 0.0, 0.16765137, 6.8186207, 7.220984, -42.49307, -69.160164, -14.846436, move
158310749008572, 33.8224269, -84.3708083, 0.0, 0.0, 0.0, 0.79993653, 6.7563505, 7.2329593, -42.49307, -69.160164, -14.846436, move
158310749008572, 33.8224269, -84.3708083, 0.0, 0.0, 0.0, 0.79993653, 6.7563505, 7.2329593, -42.49307, -69.160164, -14.846436, move
158310749008572, 33.8224269, -84.3708083, 0.0, 0.0, 0.0, 0.79993653, 6.7563505, 7.2329593, -43.24307, -67.660164, -14.471436, move
158310769239852, 33.8224269, -84.3708083, 0.0, 0.0, 0.0, 1.1879297, 6.6294146, 7.237749, -43.24307, -67.660164, -14.471436, move
158310769239852, 33.8224269, -84.3708083, 0.0, 0.0, 0.0, 1.1879297, 6.6294146, 7.237749, -43.24307, -67.660164, -14.471436, move
158310769239852, 33.8224269, -84.3708083, 0.0, 0.0, 0.0, 1.1879297, 6.6294146, 7.237749, -42.11807, -68.785164, -13.658936, move
158310789471140, 33.8224269, -84.3708083, 0.0, 0.0, 0.0, 1.5088624, 6.488108, 7.4820414, -42.11807, -68.785164, -13.658936, move
158310789471140, 33.8224269, -84.3708083, 0.0, 0.0, 0.0, 1.5088624, 6.488108, 7.4820414, -42.11807, -68.785164, -13.658936, move
158310789471140, 33.8224269, -84.3708083, 0.0, 0.0, 0.0, 1.5088624, 6.488108, 7.4820414, -43.99307, -68.410164, -14.533936, move
158310809702420, 33.8224269, -84.3708083, 0.0, 0.0, 0.0, 0.60354495, 7.321575, 6.6461797, -43.99307, -68.410164, -14.533936, move
158310809702420, 33.8224269, -84.3708083, 0.0, 0.0, 0.0, 0.60354495, 7.321575, 6.6461797, -43.99307, -68.410164, -14.533936, move
158310809702420, 33.8224269, -84.3708083, 0.0, 0.0, 0.0, 0.60354495, 7.321575, 6.6461797, -43.61807, -68.785164, -15.783936, move
158310829933684, 33.8224269, -84.3708083, 0.0, 0.0, 0.0, 0.41194338, 7.060518, 7.168294, -43.61807, -68.785164, -15.783936, move
158310829933684, 33.8224269, -84.3708083, 0.0, 0.0, 0.0, 0.41194338, 7.060518, 7.168294, -43.61807, -68.785164, -15.783936, move
158310829933684, 33.8224269, -84.3708083, 0.0, 0.0, 0.0, 0.41194338, 7.060518, 7.168294, -39.18057, -69.847664, -15.846436, move
158310850177335, 33.8224269, -84.3708083, 0.0, 0.0, 0.0, 2.335144, 7.544312, 6.5144534, -39.18057, -69.847664, -15.846436, move
158310850177335, 33.8224269, -84.3708083, 0.0, 0.0, 0.0, 2.335144, 7.544312, 6.5144534, -39.18057, -69.847664, -15.846436, move
158310850177335, 33.8224269, -84.3708083, 0.0, 0.0, 0.0, 2.335144, 7.544312, 6.5144534, -42.86807, -70.972664, -17.096436, move
158310870410847, 33.8224269, -84.3708083, 0.0, 0.0, 0.0, -0.4526587, 6.959927, 7.711963, -42.86807, -70.972664, -17.096436, move
158310870410847, 33.8224269, -84.3708083, 0.0, 0.0, 0.0, -0.4526587, 6.959927, 7.711963, -42.86807, -70.972664, -17.096436, move
158310870410847, 33.8224269, -84.3708083, 0.0, 0.0, 0.0, -0.4526587, 6.959927, 7.711963, -44.74307, -71.347664, -17.971436, move
158310890644351, 33.8224269, -84.3708083, 0.0, 0.0, 0.0, -0.45026368, 7.199429, 6.9934573, -44.74307, -71.347664, -17.971436, move
158310890644351, 33.8224269, -84.3708083, 0.0, 0.0, 0.0, -0.45026368, 7.199429, 6.9934573, -44.74307, -71.347664, -17.971436, move
158310890644351, 33.8224269, -84.3708083, 0.0, 0.0, 0.0, -0.45026368, 7.199429, 6.9934573, -41.74307, -70.972664, -17.158936, move
158310910877871, 33.8224269, -84.3708083, 0.0, 0.0, 0.0, 2.5243506, 6.9311867, 6.6342044, -41.74307, -70.972664, -17.158936, move
158310910877871, 33.8224269, -84.3708083, 0.0, 0.0, 0.0, 2.5243506, 6.9311867, 6.6342044, -41.74307, -70.972664, -17.158936, move
158310910877871, 33.8224269, -84.3708083, 0.0, 0.0, 0.0, 2.5243506, 6.9311867, 6.6342044, -41.74307, -70.597664, -16.721436, move
158310931111375, 33.8224269, -84.3708083, 0.0, 0.0, 0.0, -0.65384036, 6.959927, 7.5035963, -41.74307, -70.597664, -16.721436, move
158310931111375, 33.8224269, -84.3708083, 0.0, 0.0, 0.0, -0.65384036, 6.959927, 7.5035963, -41.74307, -70.597664, -16.721436, move
158310931111375, 33.8224269, -84.3708083, 0.0, 0.0, 0.0, -0.65384036, 6.959927, 7.5035963, -42.49307, -70.222664, -17.158936, move
158310951349807, 33.8224269, -84.3708083, 0.0, 0.0, 0.0, 0.55324954, 7.1706886, 6.4114676, -42.49307, -70.222664, -17.158936, move
158310951349807, 33.8224269, -84.3708083, 0.0, 0.0, 0.0, 0.55324954, 7.1706886, 6.4114676, -42.49307, -70.222664, -17.158936, move
158310951349807, 33.8224269, -84.3708083, 0.0, 0.0, 0.0, 0.55324954, 7.1706886, 6.4114676, -42.11807, -70.222664, -16.783936, move
158310971583871, 33.8224269, -84.3708083, 0.0, 0.0, 0.0, 2.1243825, 7.565867, 6.7803006, -42.11807, -70.222664, -16.783936, move
158310971583871, 33.8224269, -84.3708083, 0.0, 0.0, 0.0, 2.1243825, 7.565867, 6.7803006, -42.11807, -70.222664, -16.783936, move
158310971583871, 33.8224269, -84.3708083, 0.0, 0.0, 0.0, 2.1243825, 7.565867, 6.7803006, -42.11807, -70.222664, -16.783936, move
158310991817935, 33.8224269, -84.3708083, 0.0, 0.0, 0.0, -0.76880133, 7.6592727, 7.180269, -42.11807, -70.222664, -16.783936, move
158310991817935, 33.8224269, -84.3708083, 0.0, 0.0, 0.0, -0.76880133, 7.6592727, 7.180269, -42.11807, -70.222664, -16.783936, move
158310991817935, 33.8224269, -84.3708083, 0.0, 0.0, 0.0, -0.76880133, 7.6592727, 7.180269, -42.49307, -71.347664, -17.221436, move
