timestamp, lastLatitude, lastLongitude, lastAccelerometerValues[0], lastAccelerometerValues[1], lastAccelerometerValues[2], lastGyroscopeValues[0], lastGyroscopeValues[1], lastGyroscopeValues[2], lastMagnetometerValues[0], lastMagnetometerValues[1], lastMagnetometerValues[2], label
157437029130015, 33.8164664, -84.3661984, 0.0, 0.0, 0.0, 0.55324954, 6.9024467, 7.1443434, -1.7430687, -59.160164, -26.283936, move
157437049267024, 33.8164664, -84.3661984, 0.0, 0.0, 0.0, 0.5556446, 6.9168167, 7.1203933, -1.7430687, -59.160164, -26.283936, move
157437069631215, 33.8164664, -84.3661984, 0.0, 0.0, 0.0, 0.5748047, 6.935977, 7.101233, -1.7430687, -59.160164, -26.283936, move
157437069631215, 33.8164664, -84.3661984, 0.0, 0.0, 0.0, 0.5748047, 6.935977, 7.101233, -1.7430687, -59.160164, -26.283936, move
157437089800655, 33.8164664, -84.3661984, 0.0, 0.0, 0.0, 0.5891748, 6.919212, 7.101233, -1.7430687, -59.160164, -26.283936, move
157437109970096, 33.8164664, -84.3661984, 0.0, 0.0, 0.0, 0.54366946, 6.912027, 7.1203933, -1.7430687, -59.160164, -26.283936, move
157437089800655, 33.8164664, -84.3661984, 0.0, 0.0, 0.0, 0.54366946, 6.912027, 7.1203933, -1.7430687, -59.160164, -26.283936, move
157437109970096, 33.8164664, -84.3661984, 0.0, 0.0, 0.0, 0.54366946, 6.912027, 7.1203933, -1.7430687, -59.160164, -26.283936, move
157437109970095, 33.8164664, -84.3661984, 0.0, 0.0, 0.0, 0.54366946, 6.912027, 7.1203933, -2.8680687, -60.972664, -19.158936, move
157437130139535, 33.8164664, -84.3661984, 0.0, 0.0, 0.0, 0.5292993, 6.9168167, 7.1347637, -2.8680687, -60.972664, -19.158936, move
157437130139535, 33.8164664, -84.3661984, 0.0, 0.0, 0.0, 0.5292993, 6.9168167, 7.1347637, -2.8680687, -60.972664, -19.158936, move
157437130139535, 33.8164664, -84.3661984, 0.0, 0.0, 0.0, 0.5292993, 6.9168167, 7.1347637, -1.7430687, -60.597664, -19.596436, move
157437150308959, 33.8164664, -84.3661984, 0.0, 0.0, 0.0, 0.51492923, 6.9072366, 7.1347637, -1.7430687, -60.597664, -19.596436, move
