timestamp, lastLatitude, lastLongitude, lastAccelerometerValues[0], lastAccelerometerValues[1], lastAccelerometerValues[2], lastGyroscopeValues[0], lastGyroscopeValues[1], lastGyroscopeValues[2], lastMagnetometerValues[0], lastMagnetometerValues[1], lastMagnetometerValues[2], label
22355500668820, 0.0, 0.0, 0.87897223, 6.933582, 7.0581226, 0.029033452, -0.1339004, 0.04490589, -24.079123, -35.543564, -30.556278, move
22355520816899, 0.0, 0.0, 2.2968237, 6.68929, 5.592371, 0.029033452, -0.1339004, 0.04490589, -24.079123, -35.543564, -30.556278, move
22355540964820, 0.0, 0.0, -1.094524, 6.854546, 8.47837, 0.029033452, -0.1339004, 0.04490589, -24.079123, -35.543564, -30.556278, move
22355561112739, 0.0, 0.0, -0.63707525, 6.4210477, 6.550379, 0.029033452, -0.1339004, 0.04490589, -24.079123, -35.543564, -30.556278, move
22355581541051, 0.0, 0.0, 0.28740236, 6.5791187, 6.5623536, 0.029033452, -0.1339004, 0.04490589, -24.079123, -35.543564, -30.556278, move
22355601740444, 0.0, 0.0, -0.96758795, 6.6988697, 8.061636, 0.029033452, -0.1339004, 0.04490589, -24.079123, -35.543564, -30.556278, move
22355601740443, 0.0, 0.0, -0.96758795, 6.6988697, 8.061636, 0.05726296, -0.2958206, -0.32900193, -24.079123, -35.543564, -30.556278, move
22355601740443, 0.0, 0.0, -0.96758795, 6.6988697, 8.061636, 0.05726296, -0.2958206, -0.32900193, -19.266623, -34.043564, -28.868778, move
22355621939835, 0.0, 0.0, -0.31135255, 6.569539, 7.223379, 0.05726296, -0.2958206, -0.32900193, -19.266623, -34.043564, -28.868778, move
22355621939835, 0.0, 0.0, -0.31135255, 6.569539, 7.223379, 0.010391325, -0.25747108, -0.32846928, -19.266623, -34.043564, -28.868778, move
22355621939835, 0.0, 0.0, -0.31135255, 6.569539, 7.223379, 0.010391325, -0.25747108, -0.32846928, -19.641623, -35.168564, -28.868778, move
22355642139227, 0.0, 0.0, -0.47181886, 6.8737063, 6.9240017, 0.010391325, -0.25747108, -0.32846928, -19.641623, -35.168564, -28.868778, move
22355642139227, 0.0, 0.0, -0.47181886, 6.8737063, 6.9240017, 0.07270929, -0.17438045, -0.3007724, -19.641623, -35.168564, -28.868778, move
22355642139227, 0.0, 0.0, -0.47181886, 6.8737063, 6.9240017, 0.07270929, -0.17438045, -0.3007724, -19.266623, -34.418564, -28.931278, move
22355662338619, 0.0, 0.0, 0.098195806, 6.950347, 6.974297, 0.07270929, -0.17438045, -0.3007724, -19.266623, -34.418564, -28.931278, move
22355662338619, 0.0, 0.0, 0.098195806, 6.950347, 6.974297, 0.060991388, -0.19195732, -0.22194286, -19.266623, -34.418564, -28.931278, move
22355662338619, 0.0, 0.0, 0.098195806, 6.950347, 6.974297, 0.060991388, -0.19195732, -0.22194286, -20.766623, -34.418564, -28.931278, move
22355682766771, 0.0, 0.0, -1.0514137, 7.311995, 6.10251, 0.060991388, -0.19195732, -0.22194286, -20.766623, -34.418564, -28.931278, move
22355682766771, 0.0, 0.0, -1.0514137, 7.311995, 6.10251, 0.07270929, -0.07797402, -0.15962489, -20.766623, -34.418564, -28.931278, move
22355682766771, 0.0, 0.0, -1.0514137, 7.311995, 6.10251, 0.07270929, -0.07797402, -0.15962489, -15.954123, -34.793564, -28.118778, move
22355703008283, 0.0, 0.0, -0.78556645, 6.631809, 8.068821, 0.07270929, -0.07797402, -0.15962489, -15.954123, -34.793564, -28.118778, move
22355703008283, 0.0, 0.0, -0.78556645, 6.631809, 8.068821, -0.02369714, -0.063592955, -0.07866479, -15.954123, -34.793564, -28.118778, move
22355703008283, 0.0, 0.0, -0.78556645, 6.631809, 8.068821, -0.02369714, -0.063592955, -0.07866479, -18.891623, -34.793564, -28.556278, move
22355723249787, 0.0, 0.0, -0.83586186, 6.588699, 7.3096, -0.02369714, -0.063592955, -0.07866479, -18.891623, -34.793564, -28.556278, move
22355723249787, 0.0, 0.0, -0.83586186, 6.588699, 7.3096, 0.043414522, -0.047081355, 6.974152E-4, -18.891623, -34.793564, -28.556278, move
22355723249787, 0.0, 0.0, -0.83586186, 6.588699, 7.3096, 0.043414522, -0.047081355, 6.974152E-4, -21.516623, -35.918564, -28.993778, move
22355743491307, 0.0, 0.0, -1.463357, 6.365962, 6.75156, 0.043414522, -0.047081355, 6.974152E-4, -21.516623, -35.918564, -28.993778, move
22355743491307, 0.0, 0.0, -1.463357, 6.365962, 6.75156, -7.9395226E-4, 0.023758728, 0.06514591, -21.516623, -35.918564, -28.993778, move
22355743491307, 0.0, 0.0, -1.463357, 6.365962, 6.75156, -7.9395226E-4, 0.023758728, 0.06514591, -18.891623, -34.793564, -27.743778, move
22355763732811, 0.0, 0.0, -1.465752, 6.3851223, 8.214917, -7.9395226E-4, 0.023758728, 0.06514591, -18.891623, -34.793564, -27.743778, move
22355763732811, 0.0, 0.0, -1.465752, 6.3851223, 8.214917, -0.017838184, 0.02642189, 0.1029628, -18.891623, -34.793564, -27.743778, move
22355763732811, 0.0, 0.0, -1.465752, 6.3851223, 8.214917, -0.017838184, 0.02642189, 0.1029628, -18.579123, -35.168564, -28.618778, move
22355783912075, 0.0, 0.0, -0.9627979, 6.543194, 6.928792, -0.017838184, 0.02642189, 0.1029628, -18.579123, -35.168564, -28.618778, move
22355783912075, 0.0, 0.0, -0.9627979, 6.543194, 6.928792, 0.024772394, -0.024178172, 0.14397548, -18.579123, -35.168564, -28.618778, move
22355783912075, 0.0, 0.0, -0.9627979, 6.543194, 6.928792, 0.024772394, -0.024178172, 0.14397548, -19.641623, -35.168564, -29.868778, move
22355804146491, 0.0, 0.0, -0.34488282, 6.365962, 7.1395535, 0.024772394, -0.024178172, 0.14397548, -19.641623, -35.168564, -29.868778, move
22355804146491, 0.0, 0.0, -0.34488282, 6.365962, 7.1395535, -0.010381333, 0.022693465, 0.19297765, -19.641623, -35.168564, -29.868778, move
