timestamp, lastLatitude, lastLongitude, lastAccelerometerValues[0], lastAccelerometerValues[1], lastAccelerometerValues[2], lastGyroscopeValues[0], lastGyroscopeValues[1], lastGyroscopeValues[2], lastMagnetometerValues[0], lastMagnetometerValues[1], lastMagnetometerValues[2], label
21641583872834, 0.0, 0.0, -0.3544629, 6.6749196, 7.0269876, 0.008793428, -0.48011136, 0.02573113, -17.766623, -36.293564, -27.493778, stop
21641583872834, 0.0, 0.0, -0.3544629, 6.6749196, 7.0269876, 0.0018692089, -0.016188689, -0.054696336, -17.766623, -36.293564, -27.493778, stop
21641593987778, 0.0, 0.0, -0.5245093, 6.631809, 7.479646, 0.0018692089, -0.016188689, -0.054696336, -17.766623, -36.293564, -27.493778, stop
21641593987778, 0.0, 0.0, -0.5245093, 6.631809, 7.479646, -0.014109758, -0.025243437, -0.043511063, -17.766623, -36.293564, -27.493778, stop
21641604100228, 0.0, 0.0, 0.083825685, 6.706055, 7.422166, -0.014109758, -0.025243437, -0.043511063, -17.766623, -36.293564, -27.493778, stop
21641604100228, 0.0, 0.0, 0.083825685, 6.706055, 7.422166, 0.0050650025, -0.09128983, -0.035521578, -17.766623, -36.293564, -27.493778, stop
21641614215044, 0.0, 0.0, 0.23471193, 6.864126, 6.835386, 0.0050650025, -0.09128983, -0.035521578, -17.766623, -36.293564, -27.493778, stop
21641614215044, 0.0, 0.0, 0.23471193, 6.864126, 6.835386, 0.026902923, -0.06945191, -0.034988947, -17.766623, -36.293564, -27.493778, stop
21641624329988, 0.0, 0.0, 0.17723145, 6.8689165, 6.71803, 0.026902923, -0.06945191, -0.034988947, -17.766623, -36.293564, -27.493778, stop
21641624329988, 0.0, 0.0, 0.17723145, 6.8689165, 6.71803, 0.003999738, -0.04601609, -0.02912999, -17.766623, -36.293564, -27.493778, stop
21641634444804, 0.0, 0.0, 0.1341211, 6.854546, 7.0174074, 0.003999738, -0.04601609, -0.02912999, -17.766623, -36.293564, -27.493778, stop
21641634444804, 0.0, 0.0, 0.1341211, 6.854546, 7.0174074, -0.013577125, -0.036961343, -0.016879449, -17.766623, -36.293564, -27.493778, stop
21641634444804, 0.0, 0.0, 0.1341211, 6.854546, 7.0174074, -0.013577125, -0.036961343, -0.016879449, -19.266623, -37.043564, -25.931278, stop
21641644559748, 0.0, 0.0, 0.047900394, 6.950347, 7.1491337, -0.013577125, -0.036961343, -0.016879449, -19.266623, -37.043564, -25.931278, stop
21641644559748, 0.0, 0.0, 0.047900394, 6.950347, 7.1491337, 8.039444E-4, -0.031102391, 0.0033605765, -19.266623, -37.043564, -25.931278, stop
21641654674564, 0.0, 0.0, 0.45505372, 7.053333, 6.74198, 8.039444E-4, -0.031102391, 0.0033605765, -19.266623, -37.043564, -25.931278, stop
21641654674564, 0.0, 0.0, 0.45505372, 7.053333, 6.74198, 0.024239762, -0.05507084, 0.02573113, -19.266623, -37.043564, -25.931278, stop
21641654674564, 0.0, 0.0, 0.45505372, 7.053333, 6.74198, 0.024239762, -0.05507084, 0.02573113, -19.954123, -35.918564, -27.618778, stop
21641664789508, 0.0, 0.0, 0.48139894, 7.1347637, 6.430628, 0.024239762, -0.05507084, 0.02573113, -19.954123, -35.918564, -27.618778, stop
21641664789508, 0.0, 0.0, 0.48139894, 7.1347637, 6.430628, 0.015185014, -0.03429818, 0.029992187, -19.954123, -35.918564, -27.618778, stop
21641674904324, 0.0, 0.0, 0.25147706, 7.1467385, 6.8689165, 0.015185014, -0.03429818, 0.029992187, -19.954123, -35.918564, -27.618778, stop
21641674904324, 0.0, 0.0, 0.25147706, 7.1467385, 6.8689165, -0.017838184, 0.009377658, 0.033720613, -19.954123, -35.918564, -27.618778, stop
21641674904324, 0.0, 0.0, 0.25147706, 7.1467385, 6.8689165, -0.017838184, 0.009377658, 0.033720613, -19.954123, -35.543564, -27.243778, stop
21641685019268, 0.0, 0.0, 0.25147706, 7.1156034, 7.3958206, -0.017838184, 0.009377658, 0.033720613, -19.954123, -35.543564, -27.243778, stop
21641685019268, 0.0, 0.0, 0.25147706, 7.1156034, 7.3958206, -0.015707655, 0.0061818655, 0.036916405, -19.954123, -35.543564, -27.243778, stop
21641695134084, 0.0, 0.0, 0.4239185, 7.1347637, 6.8521514, -0.015707655, 0.0061818655, 0.036916405, -19.954123, -35.543564, -27.243778, stop
21641695134084, 0.0, 0.0, 0.4239185, 7.1347637, 6.8521514, 0.025837658, -0.015123425, 0.036383774, -19.954123, -35.543564, -27.243778, stop
21641695134084, 0.0, 0.0, 0.4239185, 7.1347637, 6.8521514, 0.025837658, -0.015123425, 0.036383774, -20.704123, -36.293564, -26.868778, stop
21641705253564, 0.0, 0.0, 0.43110353, 7.197034, 6.318062, 0.025837658, -0.015123425, 0.036383774, -20.704123, -36.293564, -26.868778, stop
21641705253564, 0.0, 0.0, 0.43110353, 7.197034, 6.318062, 0.023174496, -7.423535E-4, 0.03798167, -20.704123, -36.293564, -26.868778, stop
21641715368508, 0.0, 0.0, 0.71371585, 7.1874537, 6.7491655, 0.023174496, -7.423535E-4, 0.03798167, -20.704123, -36.293564, -26.868778, stop
21641715368508, 0.0, 0.0, 0.71371585, 7.1874537, 6.7491655, -0.01677292, 0.004583969, 0.044373255, -20.704123, -36.293564, -26.868778, stop
21641715368508, 0.0, 0.0, 0.71371585, 7.1874537, 6.7491655, -0.01677292, 0.004583969, 0.044373255, -19.954123, -36.293564, -27.306278, stop
21641725483452, 0.0, 0.0, 0.847837, 7.158714, 7.086863, -0.01677292, 0.004583969, 0.044373255, -19.954123, -36.293564, -27.306278, stop
21641725483452, 0.0, 0.0, 0.847837, 7.158714, 7.086863, -0.009316067, 0.0067144977, 0.046503786, -19.954123, -36.293564, -27.306278, stop
21641735598396, 0.0, 0.0, 0.8047266, 7.1132083, 6.7779055, -0.009316067, 0.0067144977, 0.046503786, -19.954123, -36.293564, -27.306278, stop
21641735598396, 0.0, 0.0, 0.8047266, 7.1132083, 6.7779055, 0.014652383, 0.0131060835, 0.04543852, -19.954123, -36.293564, -27.306278, stop
